iter	Passed	Remaining
244	371	1146
245	372	1143
246	374	1140
247	375	1138
248	376	1136
249	377	1133
250	378	1130
251	379	1127
252	381	1125
253	382	1122
254	383	1119
255	384	1116
256	385	1114
257	386	1112
258	388	1110
259	389	1108
260	390	1105
261	391	1102
262	392	1099
263	393	1096
264	394	1093
265	394	1089
266	395	1086
267	396	1083
268	397	1080
269	398	1078
270	399	1075
271	400	1073
272	401	1070
273	402	1067
274	403	1064
275	404	1060
276	405	1057
277	406	1054
278	407	1051
279	407	1048
280	408	1046
281	409	1043
282	410	1040
283	411	1037
284	412	1034
285	413	1031
286	414	1028
287	414	1025
288	415	1022
289	416	1019
290	417	1016
291	418	1013
292	419	1011
293	420	1009
294	421	1007
295	422	1005
296	423	1003
297	424	1000
298	425	997
299	426	995
300	427	992
301	427	988
302	428	986
303	429	983
304	430	980
305	431	978
306	432	976
307	433	974
308	434	972
309	435	969
310	436	967
311	437	964
312	438	961
313	439	959
314	440	956
315	440	954
316	441	951
317	442	949
318	443	947
319	445	945
320	446	943
321	446	940
322	447	938
323	448	935
324	449	933
325	450	930
326	450	928
327	451	925
328	452	923
329	453	920
330	454	919
331	456	917
332	457	915
333	457	913
334	458	910
335	459	908
336	460	905
337	461	903
338	462	900
339	462	898
340	463	896
341	465	894
342	466	892
343	467	891
344	468	889
345	469	886
346	470	884
347	471	882
348	471	879
349	472	877
350	473	875
351	474	872
352	474	870
353	475	868
354	477	866
355	478	865
356	479	863
357	480	861
358	481	859
359	481	856
360	482	854
361	483	852
362	484	849
363	485	847
364	485	845
365	486	842
366	487	841
367	488	839
368	489	837
369	490	835
370	491	833
371	492	831
372	493	829
373	494	827
374	495	825
375	496	823
376	496	821
377	497	818
378	498	817
379	499	815
380	500	813
381	501	811
382	502	809
383	503	807
384	504	805
385	504	803
386	505	801
387	506	799
388	507	796
389	508	794
390	508	792
391	509	790
392	511	789
393	512	787
394	513	785
395	514	784
396	514	782
397	515	780
398	516	778
399	517	775
400	518	773
401	518	771
402	519	769
403	520	767
404	521	766
405	522	764
406	523	762
407	524	760
408	525	758
409	525	756
410	526	755
411	527	753
412	528	751
413	530	750
414	530	748
415	531	746
416	533	745
417	534	743
418	535	741
419	535	740
420	536	738
421	537	736
422	538	735
423	539	733
424	540	731
425	541	729
426	542	728
427	543	726
428	544	725
429	545	723
430	546	721
431	547	720
432	548	718
433	549	716
434	550	715
435	551	713
436	552	711
437	553	710
438	554	708
439	555	706
440	556	705
441	557	703
442	558	701
443	559	700
444	560	698
445	561	697
446	562	695
447	563	694
448	564	692
449	564	690
450	565	688
451	567	687
452	568	685
453	569	684
454	570	683
455	571	681
456	572	679
457	573	678
458	574	676
459	574	674
460	575	673
461	576	671
462	578	670
463	579	669
464	580	667
465	581	666
466	582	664
467	583	662
468	584	661
469	585	659
470	585	658
471	586	656
472	587	654
473	588	653
474	589	651
475	590	650
476	592	649
477	593	647
478	594	646
479	595	644
480	596	643
